index,gowun,Metacore&GSEA target genes,GSEA_R enrichment_all,GSEA_R enrichment_intersection,BC Basal,BC basal-9gene,BC Luminal,BC Luminal-16gene,BC P53 pathway,BC P53like,BC P63 pathway,Basal-squamous_ref.eau-cancer genome,Luminal_ref.eau-cancer genome,Luminal-infiltrated_ref.eau-cancer genome,Luminal-papillary_ref.eau-cancer genome,Neuronal_ref.eau-cancer genome
AMC_17S_20395_R,0.986451960265078,0.7407511028704228,0.7803940960158662,0.5871562871819714,0.9605748100066026,0.3810598802339669,0.5660556514492479,0.6268583214251299,0.8441283500617949,0.9157133751040926,0.578943174480745,0.5763114147675042,0.5329306810415927,0.5611089650516253,0.8092876825406443,0.7877249848860162
AMC_17S_28715_R,0.950695940847496,0.829905187009112,0.7743306143901053,0.7771978087398468,0.8154652520461486,0.4744077758022365,0.5674547337326175,0.5104015317736195,0.6136808108291499,0.5403928650648899,0.7918798537480705,0.76109278446919,0.4758651003148464,0.4590787671759089,0.7686609395199976,0.4453779290095624
AMC_13S_50750_R,0.9945770543226397,0.585025856154945,0.6902472881914832,0.7920042864991256,0.7403189107876549,0.7930718520004777,0.5737737060298138,0.8670815009280632,0.4036724226063906,0.6412556779815041,0.7216497835629211,0.6369914011816958,0.7601758856974845,0.9095531946312503,0.5131926086753944,0.4453779290095624
AMC_14S_58173_R,0.8125948820716493,0.9163583747690338,0.2846696916088987,0.47760296481743736,0.48825863742083714,0.5841424416273318,0.6547227091135398,0.38440999261497144,0.668510137404249,0.7765655548524567,0.8785668722967541,0.1264169966485678,0.5021976744744449,0.5611089650516253,0.7060100167449703,0.4453779290095624
AMC_16S_63679_R,0.7316840257263934,0.5506338721755778,0.8672798891276395,0.9271233325091969,0.4314406979837403,0.5177184876332839,0.39217601718824235,0.46703129258170123,0.7453466046865881,0.33910067886478445,0.8289884943796187,0.7530713277752819,0.4235951011471828,0.6332636966756175,0.2710110443807312,0.6823351814561885
AMC_13S_88176_R,0.6343575089849508,0.5607279820051075,0.5741338618630809,0.810944002004215,0.3757772834660411,0.3329639780415108,0.4744315689235408,0.48973764852137525,0.8309446613266886,0.656470052168986,0.3356977195781342,0.8122126389236207,0.45113620584126757,0.8609114664873418,0.3095264790015442,0.8744398737453837
AMC_16S_34647_R,0.8649848390539472,0.3248823586608682,0.9663677929275744,0.9283208299270914,0.5733309370476357,0.6623925813230036,0.49535793184290045,0.6198681300212068,0.5659441935915825,0.6445846768398028,0.9054500966145185,0.9266321477798142,0.6168696879273423,0.46655759656982276,0.6139682186188925,0.769370219903673
AMC_17S_10247_R,0.9938952775565663,0.8579906978118138,0.9493646326812907,0.9866272427713494,0.841769437562402,0.8816862118765499,0.544427545587012,0.7507842176388826,0.7951768850241898,0.737622319612852,0.9323815510064707,0.9420942864628108,0.5324099148627214,0.6136770788350968,0.9138432745133721,0.4453779290095624
AMC_14S_2051_NR,0.03816485895163494,0.37122681460791757,0.17427706590182335,0.535849079027316,0.20370873188450617,0.2891305620351877,0.3811749004561613,0.31085973075253737,0.5891284581162192,0.48476807694373064,0.3433299827518995,0.4786503958218681,0.47742433426596587,0.35781380174721805,0.23291714102717953,0.10583193138507846
AMC_14S_19350_NR,0.05216379098620712,0.6285120130710793,0.3787535737713892,0.11984294835130999,0.3301759953564379,0.5639594514057955,0.49330275954981245,0.25836357273023697,0.30341162893527607,0.2523314584456063,0.44460276009117816,0.4370990604617769,0.411100017840471,0.12863151326880132,0.3961476233426944,0.10568943065649587
AMC_14S_90413_NR,0.18830136699475117,0.662378896446717,0.13543132923159254,0.4073749648971328,0.3138466671859068,0.5736722941674675,0.40350561391736683,0.2648291581502773,0.2931071982472948,0.2693949695138399,0.4728594231487174,0.5005720762920884,0.40188000835239324,0.2516425400472386,0.44744110674919635,0.6823351814561885
AMC_15S_102451_NR,0.06330528187010165,0.06809034340785328,0.2374731068519502,0.08189770476945511,0.07548200233727213,0.3804465637798473,0.32705350105385617,0.7280940879334192,0.23087592756139316,0.2811840710949104,0.12687274928910575,0.1548346709730883,0.24425979372192774,0.5611089650516253,0.5489387863566917,0.4453779290095624
AMC_15S_81388_NR,0.21450144246229153,0.3118586746874738,0.31383712951873255,0.07747301744782725,0.6099694749451694,0.5753788688608392,0.5247828575255488,0.22488438237503328,0.26610697563682273,0.7777116283818617,0.12478276988079784,0.19270547841144153,0.3628049628313901,0.13388962916699212,0.38318518955785774,0.4453779290095624
AMC_14S_17734_NR,0.22914237566584952,0.2879439631991639,0.7000513691422875,0.2815606306045989,0.5109973388987498,0.46442451593898165,0.6566945193280334,0.6425881799696429,0.40768776017529773,0.24452650078639135,0.1001860322013745,0.1264169966485678,0.5799054104312202,0.397583095379134,0.5866351329381144,0.4453779290095624
AMC_16S_33494_NR,0.11651870086974148,0.11869514030119228,0.20175902232636775,0.12444507671320709,0.4309990256444911,0.25356309578004194,0.2690909992889584,0.4060720565848745,0.46862970971025064,0.29003357289587683,0.11828355152208976,0.17425943717881442,0.6291543653692925,0.4836761325731705,0.21985379919308273,0.4453779290095624
AMC_13S_11797_NR,0.003637450201091721,0.19574705380347832,0.006539461880700632,0.0447285327731713,0.25690400378096884,0.2522470452883294,0.6782546768330043,0.4353048656386568,0.027894211692409694,0.13264746852768328,0.27465515998256107,0.3687860285758957,0.5978440822708531,0.6136770788350968,0.2490576253682149,0.4453779290095624
